"id","timestamp","reference","contract_type","entry_tick","exit_tick","sell_spot","buy_price","sell_price","profit"
28,"2018-07-21 16:01:30 GMT+0800","59333241388","CALL","6224.82","6226.60","6226.60","0.50","0.00","-0.50"
29,"2018-07-21 16:01:44 GMT+0800","59333255488","CALL","6229.58","6230.71","6230.71",0.56,"0.00","-0.56"
30,"2018-07-21 16:01:58 GMT+0800","59333269708","CALL","6228.23","6228.06","6228.06",0.63,"0.00","-0.63"
31,"2018-07-21 16:02:12 GMT+0800","59333287048","CALL","6226.53","6230.57","6230.57",0.71,4.08,"3.37"
32,"2018-07-21 16:02:26 GMT+0800","59333302508","CALL","6226.09","6220.65","6222.30",0.35,"0.00","-0.35"
33,"2018-07-21 16:13:12 GMT+0800","59333982088","CALL","6234.77","6233.99","6233.99",0.35,"0.00","-0.35"
34,"2018-07-21 16:13:26 GMT+0800","59333995968","CALL","6236.77","6237.05","6237.05",0.39,"0.00","-0.39"
35,"2018-07-21 16:13:40 GMT+0800","59334010828","CALL","6238.75","6240.39","6240.39",0.44,"0.00","-0.44"
36,"2018-07-21 16:13:54 GMT+0800","59334025348","CALL","6238.86","6233.22","6233.22","0.50","0.00","-0.50"
37,"2018-07-21 16:14:09 GMT+0800","59334042108","CALL","6232.72","6234.50","6234.50",0.56,"0.00","-0.56"
38,"2018-07-21 16:14:22 GMT+0800","59334056648","CALL","6236.07","6238.45","6238.45",0.63,"0.00","-0.63"
39,"2018-07-21 16:14:37 GMT+0800","59334071308","CALL","6236.81","6246.12","6246.12",0.71,4.07,"3.36"
40,"2018-07-21 16:14:50 GMT+0800","59334086008","CALL","6247.20","6247.29","6247.29",0.35,"0.00","-0.35"
41,"2018-07-21 16:15:04 GMT+0800","59334102308","CALL","6248.00","6243.48","6241.96",0.39,"0.00","-0.39"
42,"2018-07-21 16:15:21 GMT+0800","59334120988","CALL","6244.03","6243.50","6243.50",0.44,"0.00","-0.44"
43,"2018-07-21 16:15:35 GMT+0800","59334135448","CALL","6240.44","6242.73","6242.73","0.50","0.00","-0.50"
44,"2018-07-21 16:15:48 GMT+0800","59334149248","CALL","6239.20","6239.22","6239.22",0.56,"0.00","-0.56"
45,"2018-07-21 16:16:54 GMT+0800","59334219588","CALL","6240.25","6233.56","6233.56",0.63,"0.00","-0.63"
46,"2018-07-21 16:18:56 GMT+0800","59334347468","CALL","6232.36","6235.83","6235.83",0.71,"0.00","-0.71"
47,"2018-07-21 16:19:10 GMT+0800","59334364288","CALL","6233.49","6235.07","6235.07","0.80","0.00","-0.80"
48,"2018-07-21 16:19:24 GMT+0800","59334378608","CALL","6232.74","6223.86","6223.86","0.90","0.00","-0.90"
